Average velocities saved to average_velocities.txt
         31881503 function calls (31027791 primitive calls) in 41.996 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     3634    0.079    0.000    0.089    0.000 {method 'draw_text_image' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
     6581    0.011    0.000    0.088    0.000 __init__.py:280(_compile)
        3    0.001    0.000    0.087    0.029 core.py:1(<module>)
      291    0.010    0.000    0.087    0.000 <frozen importlib._bootstrap_external>:751(_compile_bytecode)
        1    0.000    0.000    0.085    0.085 patches.py:1(<module>)
     1209    0.012    0.000    0.085    0.000 collections.py:1398(set_segments)
      354    0.006    0.000    0.084    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
        1    0.000    0.000    0.084    0.084 colors.py:1(<module>)
    13545    0.030    0.000    0.084    0.000 path.py:202(_update_values)
      203    0.005    0.000    0.083    0.000 collections.py:77(__init__)
        1    0.000    0.000    0.083    0.083 multiarray.py:1(<module>)
      917    0.002    0.000    0.083    0.000 inspect.py:3339(signature)
    16290    0.035    0.000    0.082    0.000 lines.py:1128(set_linewidth)
    55294    0.053    0.000    0.082    0.000 copyreg.py:98(__newobj__)
    23801    0.045    0.000    0.082    0.000 cbook.py:1377(is_math_text)
     4233    0.006    0.000    0.082    0.000 lines.py:731(_get_transformed_path)
     3634    0.081    0.000    0.081    0.000 {method 'draw_glyphs_to_bitmap' of 'matplotlib.ft2font.FT2Font' objects}
   342962    0.081    0.000    0.081    0.000 artist.py:293(axes)
      917    0.002    0.000    0.081    0.000 inspect.py:3077(from_callable)
        1    0.000    0.000    0.081    0.081 overrides.py:1(<module>)
    21161    0.031    0.000    0.081    0.000 text.py:1000(set_horizontalalignment)
      400    0.006    0.000    0.081    0.000 cbook.py:732(safe_masked_invalid)
